ID,X,Y,Z
1,0,0,0
2,6.9,0,0
3,0,6.9,0
4,6.9,6.9,0
5,2.1,1.2,0
6,6.6,1.2,0
7,1.95,6.197494,0
8,1.95,5.202506,0
9,1.95,3.75,0
10,4.95,3.75,0
11,4.95,5.202506,0
12,6.6,5.7,0
13,4.95,6.197494,0
14,4.95,6.25,0
15,1.95,6.25,0
17,0.207516,0,0
18,6.692762,0,0
19,6.272223,0,0
20,5.852968,0,0
21,5.433146,0,0
22,5.003658,0,0
23,4.5672,0,0
24,4.130391,0,0
25,3.690613,0,0
26,3.242531,0,0
27,2.796729,0,0
28,2.350687,0,0
29,1.909095,0,0
30,1.476887,0,0
31,1.055153,0,0
32,0.631791,0,0
33,0.415033,0,0
34,0.848549,0,0
35,1.261757,0,0
36,1.692017,0,0
37,2.126172,0,0
38,2.575202,0,0
39,3.018257,0,0
40,3.466806,0,0
41,3.914419,0,0
42,4.346363,0,0
43,4.788036,0,0
44,5.219279,0,0
45,5.647012,0,0
46,6.058923,0,0
47,6.485524,0,0
48,0,6.691267,0
49,0,0.209569,0
50,0,0.637158,0
51,0,1.077784,0
52,0,1.512082,0
53,0,1.944194,0
54,0,2.387393,0
55,0,2.825506,0
56,0,3.252408,0
57,0,3.675484,0
58,0,4.099679,0
59,0,4.531512,0
60,0,4.967447,0
61,0,5.39423,0
62,0,5.827048,0
63,0,6.266203,0
64,0,6.482534,0
65,0,6.049873,0
66,0,5.604224,0
67,0,5.184235,0
68,0,4.750658,0
69,0,4.312366,0
70,0,3.886992,0
71,0,3.463977,0
72,0,3.040839,0
73,0,2.610174,0
74,0,2.164612,0
75,0,1.723775,0
76,0,1.300388,0
77,0,0.85518,0
78,0,0.419137,0
79,6.9,0.212499,0
80,6.9,6.691237,0
81,6.9,6.265073,0
82,6.9,5.82446,0
83,6.9,5.392747,0
84,6.9,4.965753,0
85,6.9,4.528928,0
86,6.9,4.099717,0
87,6.9,3.677377,0
88,6.9,3.254192,0
89,6.9,2.826549,0
90,6.9,2.386744,0
91,6.9,1.942169,0
92,6.9,1.509377,0
93,6.9,1.073779,0
94,6.9,0.637641,0
95,6.9,0.424999,0
96,6.9,0.850284,0
97,6.9,1.297273,0
98,6.9,1.72148,0
99,6.9,2.162858,0
100,6.9,2.61063,0
101,6.9,3.042468,0
102,6.9,3.465917,0
103,6.9,3.888837,0
104,6.9,4.310596,0
105,6.9,4.747261,0
106,6.9,5.184245,0
107,6.9,5.601249,0
108,6.9,6.047672,0
109,6.9,6.482475,0
110,3.025096,6.9,0
111,6.295967,6.9,0
112,5.896671,6.9,0
113,5.511565,6.9,0
114,5.119737,6.9,0
115,4.708595,6.9,0
116,4.288975,6.9,0
117,3.869601,6.9,0
118,3.44846,6.9,0
119,6.700396,6.9,0
120,2.60323,6.9,0
121,2.187532,6.9,0
122,1.779792,6.9,0
123,1.387097,6.9,0
124,1.002185,6.9,0
125,0.602969,6.9,0
126,0.198976,6.9,0
127,6.500791,6.9,0
128,6.091143,6.9,0
129,5.7022,6.9,0
130,5.320931,6.9,0
131,4.918543,6.9,0
132,4.498648,6.9,0
133,4.079303,6.9,0
134,3.659899,6.9,0
135,3.237021,6.9,0
136,2.813171,6.9,0
137,2.39329,6.9,0
138,1.981774,6.9,0
139,1.57781,6.9,0
140,1.196383,6.9,0
141,0.807986,6.9,0
142,0.397952,6.9,0
143,2.07712,1.401646,0
144,2.078391,1.003968,0
145,1.909141,0.645817,0
146,1.600101,0.393824,0
147,1.218747,0.300195,0
148,0.832083,0.378637,0
149,0.50622,0.626703,0
150,0.323731,0.994691,0
151,0.320868,1.392682,0
152,0.489315,1.752201,0
153,0.802928,2.007672,0
154,1.194062,2.09998,0
155,1.578096,2.016727,0
156,1.896698,1.769747,0
157,2.009642,1.593039,0
158,1.745924,1.915519,0
159,1.39234,2.079207,0
160,0.996075,2.076593,0
161,0.630397,1.896816,0
162,0.384045,1.57976,0
163,0.300007,1.19633,0
164,0.392047,0.8035,0
165,0.658331,0.481255,0
166,1.02433,0.317311,0
167,1.412281,0.325393,0
168,1.768183,0.502025,0
169,2.014603,0.817349,0
170,6.577605,1.399525,0
171,6.575351,0.990811,0
172,6.38495,0.616182,0
173,6.051346,0.371413,0
174,5.662005,0.300802,0
175,5.287392,0.400153,0
176,4.986583,0.651333,0
177,4.82081,1.00758,0
178,4.821851,1.397113,0
179,4.994812,1.759204,0
180,5.318222,2.015013,0
181,5.708722,2.099958,0
182,6.091727,2.010278,0
183,6.404057,1.760628,0
184,6.511533,1.58912,0
185,6.260973,1.903782,0
186,5.903144,2.076774,0
187,5.513887,2.080546,0
188,5.142627,1.906636,0
189,4.884942,1.581681,0
190,4.800006,1.203287,0
191,4.883657,0.821075,0
192,5.124215,0.508283,0
193,5.470088,0.329862,0
194,5.85569,0.313569,0
195,6.228946,0.471841,0
196,6.502756,0.793081,0
197,1.856657,6.315469,0
198,1.837395,5.064604,0
199,1.523794,4.860264,0
200,1.138696,4.80209,0
201,0.763706,4.912823,0
202,0.469459,5.174347,0
203,0.316042,5.530829,0
204,0.328592,5.925049,0
205,0.507652,6.275025,0
206,0.81304,6.512565,0
207,1.197748,6.599997,0
208,1.579806,6.515934,0
209,1.744967,6.416248,0
210,1.397194,6.578131,0
211,0.998414,6.577133,0
212,0.646074,6.409342,0
213,0.401028,6.114299,0
214,0.300331,5.724391,0
215,0.372911,5.345143,0
216,0.600725,5.028532,0
217,0.948205,4.83594,0
218,1.33202,4.809736,0
219,1.699847,4.951566,0
220,1.95,5.031881,0
221,1.95,4.677709,0
222,1.95,4.302902,0
223,1.95,3.930821,0
224,1.95,4.861256,0
225,1.95,4.494161,0
226,1.95,4.111643,0
227,2.131678,3.75,0
228,2.498907,3.75,0
229,2.872442,3.75,0
230,3.252068,3.75,0
231,3.636805,3.75,0
232,4.020069,3.75,0
233,4.39588,3.75,0
234,4.76576,3.75,0
235,2.313356,3.75,0
236,2.684457,3.75,0
237,3.060427,3.75,0
238,3.44371,3.75,0
239,3.829899,3.75,0
240,4.210239,3.75,0
241,4.581521,3.75,0
242,4.95,3.936192,0
243,4.95,4.311464,0
244,4.95,4.682341,0
245,4.95,5.033322,0
246,4.95,4.122383,0
247,4.95,4.500545,0
248,4.95,4.864138,0
249,5.065348,5.061865,0
250,5.381378,4.858287,0
251,5.761257,4.802087,0
252,6.130004,4.90937,0
253,6.42222,5.162973,0
254,6.579808,5.510425,0
255,5.206619,4.947288,0
256,5.571267,4.809254,0
257,5.948513,4.834991,0
258,6.291072,5.0213,0
259,6.520136,5.329357,0
260,6.57692,5.90251,0
261,6.40535,6.259,0
262,6.10322,6.50462,0
263,5.717798,6.599824,0
264,5.331273,6.520999,0
265,5.046842,6.319181,0
266,6.508866,6.094635,0
267,6.268978,6.397326,0
268,5.918053,6.573185,0
269,5.516646,6.581125,0
270,5.163188,6.42238,0
271,4.95,6.223747,0
272,4.777454,6.25,0
273,4.412717,6.25,0
274,4.024329,6.25,0
275,3.634255,6.25,0
276,3.249048,6.25,0
277,2.863054,6.25,0
278,2.47779,6.25,0
279,2.118594,6.25,0
280,4.604907,6.25,0
281,4.220527,6.25,0
282,3.82813,6.25,0
283,3.440381,6.25,0
284,3.057715,6.25,0
285,2.668393,6.25,0
286,2.287187,6.25,0
287,1.95,6.223747,0
291,1.95,6.045863,0
292,1.95,5.714416,0
293,1.95,5.368554,0
294,1.95,5.894232,0
295,1.95,5.534601,0
304,4.95,5.366916,0
305,4.95,5.705351,0
306,4.95,6.038436,0
307,4.95,5.531325,0
308,4.95,5.879377,0
309,1.719246,0.965357,0
310,1.646744,0.856232,0
311,1.554051,0.761344,0
312,1.446794,0.686413,0
313,1.330758,0.636615,0
314,1.660776,1.11428,0
315,1.615888,1.023142,0
316,1.551901,0.934652,0
317,1.473846,0.85466,0
318,1.387034,0.788594,0
319,1.297185,0.741596,0
320,1.206456,0.878228,0
321,1.141711,0.936654,0
322,1.073282,0.999108,0
323,1.005596,1.065158,0
324,0.941397,1.13213,0
325,0.881246,1.195593,0
326,1.269327,0.938304,0
327,1.204591,1.002402,0
328,1.137998,1.066589,0
329,1.071345,1.131704,0
330,1.005555,1.19684,0
331,0.939817,1.260192,0
332,1.33575,1.002259,0
333,1.26932,1.068088,0
334,1.202799,1.133136,0
335,1.136233,1.198221,0
336,1.069665,1.263321,0
337,1.002242,1.328389,0
338,1.40138,1.06958,0
339,1.334113,1.134542,0
340,1.26764,1.199603,0
341,1.201128,1.264712,0
342,1.134618,1.32983,0
343,1.068133,1.395813,0
344,1.463623,1.137603,0
345,1.398119,1.200889,0
346,1.332519,1.266013,0
347,1.266021,1.331177,0
348,1.199549,1.395481,0
349,1.134876,1.459784,0
